geneID	TR42	TR43	flower.AVG
novel_gene_10_5bd9a17a	0.77	1.72	1.42
novel_gene_1001_5bd9a17a	4.21	4.53	4.57
novel_gene_1003_5bd9a17a	2.37	2.39	3.27
novel_gene_1004_5bd9a17a	2.66	2.27	2.27
novel_gene_1005_5bd9a17a	2.93	1.63	2.51
novel_gene_1006_5bd9a17a	2.36	2.38	1.91
novel_gene_1007_5bd9a17a	1.57	1.34	1.75
novel_gene_1009_5bd9a17a	4.14	4.77	4.06
novel_gene_101_5bd9a17a	2.8	3.1	2.66
novel_gene_1010_5bd9a17a	3.08	4.71	3.73
novel_gene_1011_5bd9a17a	3.35	2.8	1.93
novel_gene_1012_5bd9a17a	0.77	3.38	1.83
novel_gene_1015_5bd9a17a	2.65	3.36	2.13
novel_gene_1020_5bd9a17a	2.43	3.25	2.18
novel_gene_1022_5bd9a17a	0.77	1.72	1.41
novel_gene_1024_5bd9a17a	0.77	2.05	2.59
novel_gene_1030_5bd9a17a	0.77	2.74	2.03
novel_gene_1031_5bd9a17a	0.77	2.14	1.39
novel_gene_1033_5bd9a17a	5.63	5.21	4.46
novel_gene_1034_5bd9a17a	0.77	1.88	2.21
novel_gene_1036_5bd9a17a	2.39	2.4	2.49
novel_gene_1037_5bd9a17a	3.37	3.54	2.61
novel_gene_1039_5bd9a17a	2.89	2.78	3.1
novel_gene_1042_5bd9a17a	0.77	2.66	2.24
novel_gene_1043_5bd9a17a	5.79	5.76	4.71
novel_gene_1050_5bd9a17a	3.71	3.62	2.24
novel_gene_1053_5bd9a17a	1.52	2.39	1.72
novel_gene_106_5bd9a17a	3.63	3.98	3.88
novel_gene_1061_5bd9a17a	6.08	5.76	5.22
novel_gene_1067_5bd9a17a	3.78	3.95	2.59
novel_gene_1068_5bd9a17a	2.84	2	1.92
novel_gene_1069_5bd9a17a	5.33	5.71	3.96
novel_gene_107_5bd9a17a	3.37	3.08	3.28
novel_gene_1072_5bd9a17a	1.82	2.61	2.09
novel_gene_1076_5bd9a17a	2.38	2.15	1.64
novel_gene_1080_5bd9a17a	1.63	1.35	1.58
novel_gene_1084_5bd9a17a	1.56	1.76	2.45
novel_gene_1085_5bd9a17a	10.09	10.49	9.11
novel_gene_1086_5bd9a17a	4.85	4.23	4.45
novel_gene_1088_5bd9a17a	1.51	3.19	2.15
novel_gene_1089_5bd9a17a	3.41	3.88	3.03
novel_gene_109_5bd9a17a	0.77	1.92	1.24
novel_gene_1090_5bd9a17a	3.5	0.77	2.49
novel_gene_1093_5bd9a17a	2.94	2.71	3.03
