	AveExpr	Coef.organs	Coef.stages	t.organs	t.stages	P.value.organs	P.value.stages	F	F.p.value
novel_gene_10_5bd9a17a	0.837047099631068	-0.158407447163352	0.340672252122274	-0.28596467809411	0.614997796241743	0.779171908930998	0.548608368166877	0.229999043249834	0.797532845273427
novel_gene_1001_5bd9a17a	4.3682894579724	-0.214273882825772	-0.162831382359717	-0.838704851751119	-0.637350052192222	0.41599042514631	0.534375266316846	0.554820458690147	0.586518374789457
novel_gene_1003_5bd9a17a	2.80354458414584	-0.423518660676709	1.04718710533756	-0.837145509049307	2.06991583550758	0.416836612806301	0.0578084349536058	2.49268208470323	0.11923202359151
novel_gene_1004_5bd9a17a	1.75089121244509	-0.262695802040406	-0.64115771658799	-0.490009595055909	-1.19595909273011	0.631859678613622	0.251947450544482	0.835213777365342	0.454658040628187
novel_gene_1005_5bd9a17a	1.20527978509362	-1.35270026108674	-1.54250691039273	-1.56122963513867	-1.78029647083574	0.141204691339657	0.0971448800838334	2.80344674885271	0.0952738818047054
novel_gene_1006_5bd9a17a	1.56820897329799	-0.0603161398160326	0.251135503052067	-0.121733113307762	0.506854496025174	0.904873093958056	0.620294515814494	0.135860215508267	0.874123081083657
novel_gene_1007_5bd9a17a	0.968040532459531	-0.987470914828025	0.10772006387128	-1.95105518864635	0.212834409987639	0.0717489263060815	0.834581932504052	1.92595741760932	0.183096812911294
novel_gene_1009_5bd9a17a	4.17725960439686	0.444795300235139	0.301254198414631	1.51495555661861	1.02606012608871	0.152449463561728	0.322591758135513	1.67394486043939	0.223567956225859
novel_gene_101_5bd9a17a	2.83416830404121	0.401075892862655	-0.362032735600162	0.934846561296349	-0.843842933408166	0.366009688948415	0.413210199536314	0.793004494715253	0.47214322574988
novel_gene_1010_5bd9a17a	3.87638421678737	0.59902538541319	0.684505839377517	1.48061889159513	1.69190204934379	0.161275300055903	0.113211414347055	2.52738242336106	0.116240071164707
novel_gene_1011_5bd9a17a	2.51889825028649	1.75752854982699	0.667008779906092	3.14223701046494	1.19252667316972	0.00734509100123598	0.25324624443681	5.64788664807845	0.0162152448461453
novel_gene_1012_5bd9a17a	0.918964868843674	-0.281440224633863	-0.538336799077345	-0.281124405161969	-0.537732701906065	0.782804687260194	0.599365023177803	0.184093694938434	0.833876502508335
novel_gene_1015_5bd9a17a	2.83292444715192	2.25593288980593	2.55479238700149	4.12939936787882	4.6764503126922	0.00106112356459563	0.000374799537833556	19.4605633332585	9.80868982686497e-05
novel_gene_1020_5bd9a17a	2.20232547660291	0.541945101931597	-0.291399151160842	1.42986323404344	-0.768824980964484	0.17510358725217	0.455012277870724	1.31780035971211	0.299530141121909
novel_gene_1022_5bd9a17a	0.371933261461781	-0.834330569451097	0.564772900086722	-1.36061061424308	0.921021032467256	0.195542827120382	0.372930761036526	1.349770492919	0.291617588869498
novel_gene_1024_5bd9a17a	1.61257041889145	-1.14999964006206	1.24513830109628	-2.13739542734762	2.31422064709076	0.0510512960377642	0.0366762908153835	4.96203820813384	0.023879819374937
novel_gene_1030_5bd9a17a	1.38676768037503	-0.60712055385672	-0.165106074560725	-1.02271433796229	-0.278126557675025	0.3241157209294	0.78505731814176	0.561649499578904	0.582825737222329
novel_gene_1031_5bd9a17a	0.859763873943279	0.16971790381087	0.112019765715606	0.251224797848906	0.165817172879685	0.805359091427431	0.870716324629152	0.0453046169380175	0.955848486394901
novel_gene_1033_5bd9a17a	4.85626600425624	0.855893727306697	-0.166181073406639	3.43899657869844	-0.667718578436407	0.00409054727158253	0.51537441368693	6.13627278414436	0.0124663584784746
novel_gene_1034_5bd9a17a	1.00637552879402	-1.51784835780125	-0.187188234518138	-2.83829821551412	-0.35003235288122	0.0133506930166664	0.731622777327852	4.08922970412711	0.0404247539476766
novel_gene_1036_5bd9a17a	1.86897934234203	-0.00867619664709107	0.101410421312096	-0.0130900287797837	0.153000835220857	0.989744164210189	0.88062214495562	0.0117903022158677	0.988288919887959
novel_gene_1037_5bd9a17a	2.46166011632264	-0.17812959903234	-0.818512924370835	-0.355926269818956	-1.63549602959037	0.727302085341001	0.124641204971167	1.40076538617655	0.27948680160495
novel_gene_1039_5bd9a17a	2.65665221234486	-0.324313594995733	0.47852959019574	-0.819003467921407	1.20845194256651	0.426764327058158	0.247263866912209	1.06556138898003	0.371363206008874
novel_gene_1042_5bd9a17a	1.41402767393875	-0.946781015799564	-1.11619541401831	-1.36860199319855	-1.61349588017927	0.193088915600762	0.129363474923062	2.23822018557126	0.144079192967338
novel_gene_1043_5bd9a17a	5.04941579208501	0.692796544195991	-0.506610845458553	2.45233526119983	-1.7932820976555	0.0282063346647598	0.0949632485688833	4.61490445754787	0.0293001226740436
novel_gene_1050_5bd9a17a	2.20896959832733	0.812363347539725	-1.14780501837361	1.76315964248614	-2.49120481859314	0.100092014877287	0.0261820144026209	4.65741668653676	0.028565806351642
novel_gene_1053_5bd9a17a	1.20091958958326	-0.401991215971181	-0.500570041217385	-0.738670119392613	-0.919811472042015	0.472539361899692	0.373540531904885	0.695843344691797	0.515400587890265
novel_gene_106_5bd9a17a	3.75266441613674	0.0689955885234987	0.181762243289272	0.256339708924552	0.675302313312059	0.801487291033754	0.510690934387873	0.260871630368071	0.774111131535777
novel_gene_1061_5bd9a17a	5.51620053054773	0.716120798983243	-0.212563127308845	3.06942076509395	-0.911083266651978	0.00847854404511917	0.377960979545863	5.12570827598159	0.0217292643901625
novel_gene_1067_5bd9a17a	2.81313875740746	0.67990389943129	-0.610981786301684	1.92640082841506	-1.73112085437749	0.0749996687108397	0.105814938703058	3.35389978208944	0.0651416858492973
novel_gene_1068_5bd9a17a	1.61484348214032	-0.160422457218328	-0.666703332060851	-0.310900268307269	-1.29207748349704	0.760543645626505	0.217643303430111	0.883061600096786	0.435727439621283
novel_gene_1069_5bd9a17a	4.37816339649405	0.899245270315383	-0.970130922045359	2.89006189919421	-3.11787952362553	0.012063021965165	0.00770640045448175	9.03681525250871	0.00312709770924978
novel_gene_107_5bd9a17a	3.11407016549575	-0.0619875785659947	0.332673844897731	-0.178986128936767	0.960579604401904	0.860561429906046	0.353366377067138	0.477374605372344	0.630326705382384
novel_gene_1072_5bd9a17a	1.30739677203004	-0.823518054102578	-0.711286069956739	-1.20811009143658	-1.04346452968712	0.247391119554175	0.31474814975216	1.27417410887303	0.310727635829576
novel_gene_1076_5bd9a17a	1.41923068612179	1.6608232258393	0.0432826727117854	2.05130001994982	0.0534588787149812	0.0598130178381073	0.958135900763815	2.10534481177979	0.159384680879305
novel_gene_1080_5bd9a17a	0.870248670168217	-0.0700645020050641	-0.0749361399621593	-0.100580326920019	-0.107573753324808	0.921336730079414	0.915889064142309	0.0108442572838623	0.989222788639737
novel_gene_1084_5bd9a17a	1.14175634276195	-1.75376853610526	-0.0938997657066611	-3.19723052883926	-0.171185188573922	0.00659014546266213	0.86657394732944	5.12579371166444	0.0217282012898783
novel_gene_1085_5bd9a17a	9.54353883280267	0.855459050624851	-0.451355121199761	3.36537438060922	-1.77563024242124	0.00472965192150149	0.0979396330705092	7.23930373973091	0.00712664188759733
novel_gene_1086_5bd9a17a	4.41720571457718	-0.0378940132324321	-0.108328877080629	-0.149120650811609	-0.426296168549616	0.883625345979322	0.676496013702449	0.10198269590928	0.90372240378041
novel_gene_1088_5bd9a17a	2.01830308991808	0.613323377439868	1.22379658527402	0.821006189832656	1.63819708911152	0.425660916274483	0.124071848071216	1.67887043325849	0.222684537133221
novel_gene_1089_5bd9a17a	3.30624852212462	0.377018217758257	0.139369298128246	0.941905335845611	0.348186584565058	0.362510626206098	0.732977824133438	0.504209779682757	0.614735810058811
novel_gene_109_5bd9a17a	0.624620393675138	0.420829574872684	-0.323473925572192	0.709122542595289	-0.545072557304055	0.490108733808286	0.594442744395716	0.399979436571395	0.677892059382013
novel_gene_1090_5bd9a17a	2.04824669093026	-0.762858939427957	0.908500771508991	-0.958474687897012	1.14146265898023	0.354388919125674	0.273184424538435	1.11080536459275	0.357138577152445
novel_gene_1093_5bd9a17a	2.87004283830485	0.20635359826089	0.637784162245716	0.606921941445516	1.87583451529634	0.553801589665248	0.0820880785810619	1.94355468589253	0.180600075958268
novel_gene_1096_5bd9a17a	2.99367437672125	1.01490001688991	-0.341598995012057	3.05048120637381	-1.02674282890814	0.00880077074417214	0.322281435311879	5.17981821357706	0.0210677335676145
novel_gene_1098_5bd9a17a	6.75220532209993	1.06916368662153	1.00505093698158	2.03193644984139	1.91009071702885	0.0619659035527442	0.0772230529377018	3.8886061417369	0.0458954118584781
novel_gene_1099_5bd9a17a	1.17976043605437	-2.2259443373979	0.167675895931613	-3.32695615341342	0.250612894660657	0.00510202654848267	0.805822637761003	5.56572203485279	0.016965646019721
novel_gene_1101_5bd9a17a	0.562440003325738	-0.529923801163135	0.480840104703393	-0.91088254092353	0.826512897493596	0.378063058259723	0.422636524029437	0.756415286541282	0.487925735135549
novel_gene_1102_5bd9a17a	1.81774949904793	0.0782667875113627	-0.0901306998189376	0.154113082904378	-0.177474002129051	0.879761632878583	0.86172620071403	0.0276239318769971	0.972808009349485
novel_gene_1105_5bd9a17a	1.19150438414891	0.141375045705585	-1.34320380600989	0.166872069143441	-1.58545093493372	0.869901969145103	0.135606438924567	1.2707504772712	0.311626480744432
novel_gene_1107_5bd9a17a_novel_gene_1108_5bd9a17a	0.538226541298598	-0.495173180956578	0.430272486451457	-0.758679396387841	0.659241822573408	0.460863411569	0.52063863182246	0.505097103566663	0.614227882567053
novel_gene_111_5bd9a17a	1.96110633456003	1.00024801220719	-1.55534192636018	1.70731411736831	-2.65479880569812	0.110252333700746	0.0190927018547617	4.98143909705065	0.0236125654236534
novel_gene_1110_5bd9a17a	2.03445367486193	0.711939500473299	0.312244438198702	1.37988915808533	0.605195686791354	0.189665877128501	0.554915132393063	1.13517795395615	0.349735097929649
novel_gene_1111_5bd9a17a	1.84409108834711	-1.15782415795585	-0.347309970270673	-2.7501768880488	-0.824964522172063	0.0158592722858182	0.423485504726708	4.12201968920018	0.0396035664655544
novel_gene_1114_5bd9a17a	4.25736430365587	-0.534445034486873	2.04577878871673	-1.60992836181302	6.16257441162816	0.130143616005786	2.68020455212248e-05	20.284596354512	7.93741336386967e-05
