target_id	length	eff_length	est_counts	tpm
evm.model.01.40	19438	19126.3	128	7.35615
evm.model.10.2068	11221	10909.3	8.64668	0.871211
evm.model.03.2112	13918	13606.3	121	9.77499
evm.model.03.111	6068	5756.33	7	1.33667
evm.model.01.2715	11760	11448.3	34	3.26444
evm.model.02.1085	13396	13084.3	114	9.57691
evm.model.06.1418	7504	7192.33	118	18.0337
evm.model.05.181	34933	34621.3	122	3.87336
evm.model.05.2038	26225	25913.3	203.793	8.64446
evm.model.10.1136	22495	22183.3	181	8.96859
evm.model.06.1594	10718	10406.3	113	11.9358
evm.model.02.2069	12526	12214.3	53	4.76956
evm.model.01.3	18155	17843.3	243	14.9693
novel_model_2271_5bd9a17a.1.5bd9b136	878	566.333	0	0
novel_model_2272_5bd9a17a.2.5bd9b136	1085	773.333	0.00172171	0.00244718
novel_model_2270_5bd9a17a	1157	845.333	0	0
novel_model_1704_5bd9a17a	1529	1217.33	0	0
evm.model.02.266	396	333	0	0
evm.model.02.43	1794	1482.33	6	4.44916
evm.model.02.3047	1707	1395.33	0	0
novel_model_994_5bd9a17a	1418	1106.33	23.4698	23.3182
novel_model_997_5bd9a17a.2.5bd9b135	1547	1235.33	0	0
novel_model_995_5bd9a17a.1.5bd9b135	1323	1011.33	51.5302	56.0067
novel_model_996_5bd9a17a.3.5bd9b135	1178	866.333	0	0
evm.model.05.1111	1194	882.333	0	0
evm.model.07.208	1055	743.333	5	7.39365
evm.model.10.9	988	676.333	11	17.8774
evm.model.02.2874	1731	1419.33	14.483	11.2162
evm.model.02.2874.1.5bd9b136	1241	929.333	4.51701	5.34259
evm.model.06.1955	696	633	12	20.8377
evm.model.03.1605	1305	993.333	0	0
evm.model.02.1964	1233	921.333	0	0
evm.model.10.1123	1200	888.333	0	0
evm.model.10.282.3.5bd9b13d	975	663.333	3.64968	6.04777
evm.model.10.282.3.5bd9b13d.1.5bdae6dc	917	605.333	0	0
evm.model.10.282.1.5bd9b13d	1050	738.333	0	0
evm.model.10.282.5.5bd9b13d	789	726	0	0
evm.model.10.282	1132	820.333	31.3503	42.0072
evm.model.10.282.2.5bd9b13d	886	574.333	0	0
evm.model.10.282.4.5bd9b13d	1412	1100.33	0	0
evm.model.01.1936	240	177	0	0
evm.model.01.2877	369	306	0	0
evm.model.09.1347	4602	4290.33	0	0
evm.model.02.1925	4806	4494.33	10.1524	2.48299
evm.model.07.270	1260	948.333	5	5.79537
novel_model_3830_5bd9a17a	2451	2139.33	3	1.5414
evm.model.01.2844	246	183	0	0
evm.model.05.556	417	354	0	0
evm.model.09.1360	333	270	0	0
evm.model.09.1517	4632	4320.33	0	0
novel_model_4177_5bd9a17a	1382	1070.33	85.5553	87.8618
novel_model_4178_5bd9a17a.1.5bd9b139	1280	968.333	7.77652	8.82739
novel_model_4179_5bd9a17a.2.5bd9b139	1517	1205.33	6.66814	6.08092
novel_model_4698_5bd9a17a.2.5bd9b13a	1386	1074.33	4	4.09254
novel_model_4700_5bd9a17a.5.5bd9b13a	1061	749.333	0	0
novel_model_4696_5bd9a17a.4.5bd9b13a	1532	1220.33	0	0
novel_model_4699_5bd9a17a.1.5bd9b13a	1525	1213.33	0	0
novel_model_4697_5bd9a17a.3.5bd9b13a	1473	1161.33	0	0
novel_model_4695_5bd9a17a	1463	1151.33	0	0
evm.model.07.1005	1782	1470.33	2	1.49516
novel_model_740_5bd9a17a	1269	957.333	10.4674	12.0184
novel_model_741_5bd9a17a.1.5bd9b134	1647	1335.33	3.53263	2.90791
evm.model.08.1532	927	615.333	0	0
novel_model_6193_5bd9a17a	879	567.333	1	1.93747
evm.model.01.2454	531	468	0	0
evm.model.02.1506	2190	1878.33	23.0332	13.4789
evm.model.07.1130	930	618.333	0	0
evm.model.09.1624	1191	879.333	0	0
evm.model.06.1533	468	405	0	0
evm.model.04.1110	678	615	0	0
evm.model.07.1463	267	204	0	0
evm.model.06.2098	462	399	0	0
evm.model.04.1027	1029	717.333	0	0
evm.model.07.224	465	402	0	0
evm.model.02.1210	893	581.333	11.4515	21.6525
evm.model.10.593	1326	1014.33	0	0
evm.model.07.1249	1864	1552.33	10	7.08088
evm.model.07.1249.1.5bd9b13c	1797	1485.33	0	0
evm.model.ctgX8.3	810	498.333	0	0
evm.model.05.1899	720	657	0	0
evm.model.ctgX2.51	324	261	0	0
evm.model.10.568	393	330	0	0
novel_model_2034_5bd9a17a	1139	827.333	1	1.32859
evm.model.08.240	1680	1368.33	154	123.709
evm.model.04.1217	1869	1557.33	0	0
novel_model_4415_5bd9a17a	911	599.333	0	0
novel_model_4418_5bd9a17a.1.5bd9b139	1167	855.333	3.90568	5.01919
novel_model_4422_5bd9a17a.7.5bd9b139	1263	951.333	0	0
novel_model_4421_5bd9a17a.6.5bd9b139	1787	1475.33	0	0
novel_model_4416_5bd9a17a.3.5bd9b139	1129	817.333	27.0943	36.4377
novel_model_4417_5bd9a17a.2.5bd9b139	1134	822.333	0	0
novel_model_4420_5bd9a17a.4.5bd9b139	1317	1005.33	0	0
novel_model_4419_5bd9a17a.5.5bd9b139	1738	1426.33	0	0
evm.model.09.83	4257	3945.33	28	7.80093
evm.model.ctgX9.4	621	558	0	0
evm.model.07.1620	1056	744.333	11	16.2442
evm.model.04.1330	2082	1770.33	530.52	329.397
novel_model_7239_5bd9a17a	1877	1565.33	40.3288	28.3192
evm.model.05.2045	1284	972.333	0	0
novel_model_4945_5bd9a17a	1472	1160.33	42	39.7868
evm.model.08.1636	339	276	28	111.512
novel_model_1049_5bd9a17a	1564	1252.33	0	0
novel_model_1381_5bd9a17a	901	589.333	16	29.8422
evm.model.06.742	1305	993.333	0	0
evm.model.08.394	270	207	0	0
evm.model.06.315	1489	1177.33	34	31.7433
evm.model.06.952.2.5bd9b13a	2324	2012.33	0	0
evm.model.06.952.3.5bd9b13a	1675	1363.33	2.15421	1.73683
evm.model.06.952.1.5bd9b13a	2298	1986.33	0	0
evm.model.06.952	2384	2072.33	5.84579	3.10067
evm.model.08.1950	1071	759.333	140	202.66
evm.model.01.2671	1173	861.333	82	104.644
evm.model.07.1875	993	681.333	8.63373	13.9287
evm.model.03.447	1050	738.333	0	0
evm.model.05.488	1221	909.333	0	0
novel_model_5047_5bd9a17a.1.5bd9b13a	1291	979.333	0	0
novel_model_5046_5bd9a17a	1702	1390.33	78	61.6663
evm.model.02.607	4431	4119.33	0	0
evm.model.08.1017	1335	1023.33	33	35.4461
evm.model.04.667	390	327	0	0
evm.model.06.162	303	240	0	0
evm.model.03.1820	1917	1605.33	0	0
evm.model.05.551	363	300	0	0
novel_model_1871_5bd9a17a	842	530.333	0	0
evm.model.08.1020	1620	1308.33	80	67.2115
evm.model.06.2013	2532	2220.33	93	46.0402
novel_model_1088_5bd9a17a.10.5bd9b135	2266	1954.33	0	0
novel_model_1085_5bd9a17a.7.5bd9b135	1952	1640.33	0	0
novel_model_1078_5bd9a17a	1813	1501.33	91.8459	67.2442
novel_model_1087_5bd9a17a.11.5bd9b135	2281	1969.33	0	0
novel_model_1081_5bd9a17a.4.5bd9b135	1877	1565.33	0	0
novel_model_1086_5bd9a17a.6.5bd9b135	1944	1632.33	0	0
novel_model_1079_5bd9a17a.5.5bd9b135	1888	1576.33	42.0356	29.3117
novel_model_1080_5bd9a17a.1.5bd9b135	1831	1519.33	0	0
novel_model_1083_5bd9a17a.2.5bd9b135	1907	1595.33	0	0
novel_model_1084_5bd9a17a.8.5bd9b135	1806	1494.33	28.264	20.7902
novel_model_1090_5bd9a17a.12.5bd9b135	2445	2133.33	0	0
novel_model_1089_5bd9a17a.9.5bd9b135	2203	1891.33	3.85459	2.24018
novel_model_1082_5bd9a17a.3.5bd9b135	1830	1518.33	0	0
evm.model.06.765.5.5bd9b13a	1764	1452.33	2.16642	1.63964
evm.model.06.765.1.5bd9b13a.1.5bdae6dc	1622	1310.33	0.000105993	8.89136e-05
evm.model.06.765	1685	1373.33	34.8335	27.88
evm.model.06.765.3.5bd9b13a	1534	1222.33	0	0
evm.model.06.765.1.5bd9b13a	1562	1250.33	0	0
evm.model.06.765.4.5bd9b13a	1416	1104.33	0	0
evm.model.06.765.1.5bd9b13a.3.5bdae6dc	1344	1032.33	0	0
evm.model.06.765.2.5bd9b13a	1575	1263.33	0	0
evm.model.06.765.1.5bd9b13a.2.5bdae6dc	1509	1197.33	0	0
evm.model.02.983	1318	1006.33	307	335.327
novel_model_3085_5bd9a17a.3.5bd9b137	1354	1042.33	0	0
novel_model_3087_5bd9a17a.5.5bd9b137	830	518.333	0	0
novel_model_3084_5bd9a17a.2.5bd9b137	1594	1282.33	0	0
novel_model_3082_5bd9a17a	1474	1162.33	0	0
novel_model_3083_5bd9a17a.1.5bd9b137	1491	1179.33	0	0
novel_model_3086_5bd9a17a.4.5bd9b137	998	686.333	0	0
evm.model.01.253	2123	1811.33	86	52.1882
evm.model.10.527	1360	1048.33	1	1.04851
evm.model.10.716	618	555	0	0
evm.model.01.2573.1.5bdae6e4	2371	2059.33	15.3875	8.2132
evm.model.01.2573	1932	1620.33	35.6125	24.1585
evm.model.01.2573.2.5bdae6e4	1777	1465.33	0	0
novel_model_7123_5bd9a17a	1058	746.333	38.0036	55.9711
novel_model_7124_5bd9a17a.1.5bd9b13d	2178	1866.33	19.9964	11.777
evm.model.08.848	876	564.333	0	0
evm.model.04.382	1350	1038.33	0	0
novel_model_4000_5bd9a17a.2.5bd9b139	693	630	0	0
novel_model_3999_5bd9a17a.1.5bd9b139	1808	1496.33	0	0
novel_model_3998_5bd9a17a	1832	1520.33	22	15.9058
evm.model.05.1109	792	729	1	1.5078
evm.model.02.2308	1902	1590.33	13	8.98519
evm.model.06.1992	915	603.333	0	0
